Stock,Sales,High,Low,Close,Previous Close
Abitibi Power & Pap,900,48.5,45,45,49
Abitibi Power & Paper pf,200,80,80,80,80
Adams Exp pf,100,88,87.125,88,90
Adams Millis,400,27.625,27.625,27.625,27.75
Advance Rumley,500,15.25,13,13,15.125
Advance Rumley pf,300,24.5,23.875,23.875,23.875
Ahumada Lead,100,1.125,1,1,1.125
Air Reduction,2500,189.25,150,153,194.875
Ajax Rubber,900,3.125,2.75,2.75,3
Alaska Juneau,1700,6.5,6,6,6.5
Albany P W Paper,100,10.5,10,10,10.25
Alleghany Corp,15100,36,30.5,31.875,36.625
